Catégorie (niveau 1);Catégorie (niveau 2);Catégorie (niveau 3);Procédé;UUID avec espaces;UUID;Changement climatique;heat;electricity per pick per meter;electricity;textile waste
Textile;Matières;Matières naturelles; Fibres de kapok, inventaire agrégé;36cdbfc4-3f48-47b0-8ae0-294bb6017df1;36cdbfc4-3f48-47b0-8ae0-294bb6017df1;-0,0280245;0;0;0;0
Textile;Matières;Matières synthétiques; Filament de viscose;81a67d97-3cd9-44ef-9ee2-159364364c0f;81a67d97-3cd9-44ef-9ee2-159364364c0f;7,99002;0;0;0;0,0582011
Textile;Matières;Matières synthétiques; Filament de polyuréthane;c3738500-0a62-4b95-b4a2-b7beb12a9e1a;c3738500-0a62-4b95-b4a2-b7beb12a9e1a;20,6809;0;0;0;0,00796392
Textile;Matières;Matières synthétiques; Filament de polytriméthylène téréphtalate (PTT), inventaire partiellement agrégé;eca33573-0d09-4d79-9b28-da42bfcc7a4b;eca33573-0d09-4d79-9b28-da42bfcc7a4b;12,0842;0;0;0;0,0319569
Textile;Matières;Matières synthétiques; Filament de polytéréphtalate de butylène (PBT), inventaire agrégé;7f8bbfdc-fb65-4e3a-ac81-eda197ef17fc;7f8bbfdc-fb65-4e3a-ac81-eda197ef17fc;10,1195;0;0;0;0
Textile;Matières;Matières synthétiques; Filament de polypropylène;a30cfbde-393a-40db-9263-ea00bfced0b7;a30cfbde-393a-40db-9263-ea00bfced0b7;6,91894;0;0;0;0,0319569
Textile;Matières;Matières synthétiques; Filament de polylactide;f2dd799d-1b69-4e7a-99bd-696bbbd5a978;f2dd799d-1b69-4e7a-99bd-696bbbd5a978;9,35683;0;0;0;0,0319569
Textile;Matières;Matières synthétiques; Filament de polyéthylène;088ed617-67fa-4d42-b3af-ee6cf39cf36f;088ed617-67fa-4d42-b3af-ee6cf39cf36f;6,91078;0;0;0;0,0319569
Textile;Matières;Matières synthétiques; Filament de polyester, inventaire partiellement agrégé;4d57c51d-7d56-46e1-acde-02fbcdc943e4;4d57c51d-7d56-46e1-acde-02fbcdc943e4;10,2505;0;0;0;0,0319569
Textile;Matières;Matières synthétiques; Filament de polyamide 66;182fa424-1f49-4728-b0f1-cb4e4ab36392;182fa424-1f49-4728-b0f1-cb4e4ab36392;13,6468;0;0;0;0,0319569
Textile;Matières;Matières synthétiques; Filament d'aramide;7a1ccc4a-2ea7-48dc-9ef0-d57066ea8fa5;7a1ccc4a-2ea7-48dc-9ef0-d57066ea8fa5;22,3103;0;0;0;0
Textile;Matières;Matières synthétiques; Filament d'acrylique;aee6709f-0864-4fc5-8760-68cb644a0021;aee6709f-0864-4fc5-8760-68cb644a0021;18,4288;0;0;0;0,00796392
Textile;Matières;Matières synthétiques; Filament bi-composant polypropylène/polyamide;37396ac4-13a2-484c-9cc6-5b5a93ff6e6e;37396ac4-13a2-484c-9cc6-5b5a93ff6e6e;8,26356;0;0;0;0,0319569
Textile;Matières;Matières synthétiques; Feuille de néoprène, inventaire agrégé;76fefff3-3781-49a2-8deb-c12945a6b71f;76fefff3-3781-49a2-8deb-c12945a6b71f;9,87734;0;0;0;0
Textile;Matières;Matières recyclées; Production de filament de polyester recyclé (recyclage mécanique), traitement de bouteilles post-consommation, inventaire partiellement agrégé;4072bfa2-1948-4d12-8de9-bbeb6cc628e1;4072bfa2-1948-4d12-8de9-bbeb6cc628e1;6,58922;0;0;0;0,031957
Textile;Matières;Matières recyclées; Production de filament de polyester recyclé (recyclage chimique partiel), traitement de bouteilles post-consommation, inventaire partiellement agrégé;e65e8157-9bd1-4711-9571-8e4a22c2d2b5;e65e8157-9bd1-4711-9571-8e4a22c2d2b5;22,3377;0;0;0;0,032
Textile;Matières;Matières recyclées; Production de filament de polyester recyclé (recyclage chimique complet), traitement de bouteilles post-consommation, inventaire partiellement agrégé;221067ba-5c2f-4dad-b09a-dd5af0a9ae31;221067ba-5c2f-4dad-b09a-dd5af0a9ae31;6,99213;0;0;0;0,032
Textile;Matières;Matières recyclées; Production de filament de polyamide recyclé (recyclage chimique), traitement de déchets issus de filets de pêche, de tapis et de déchets de production, inventaire partiellement agrégé;41ee61c2-9a98-4eec-8949-9d9b54289bd0;41ee61c2-9a98-4eec-8949-9d9b54289bd0;8,55458;0;0;0;0,0319681
Textile;Matières;Matières recyclées; Production de fil de viscose recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé;9671ae26-d772-4bb1-aad5-6b826555d0cd;9671ae26-d772-4bb1-aad5-6b826555d0cd;6,46416;0;0;0;0,137851
Textile;Matières;Matières recyclées; Production de fil de polyamide recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé;af5d130d-f18b-438c-9f19-d1ee49756960;af5d130d-f18b-438c-9f19-d1ee49756960;5,22649;0;0;0;0,137851
Textile;Matières;Matières recyclées; Production de fil de laine recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé;92dfabc7-9441-463e-bda8-7bc5943c0e9d;92dfabc7-9441-463e-bda8-7bc5943c0e9d;0,495013;0;0;0;0,1688
Textile;Matières;Matières recyclées; Production de fil de coton recyclé (recyclage mécanique), traitement de déchets textiles post-consommation, inventaire partiellement agrégé;4d23093d-1346-4018-8c0f-7aae33c67bcd;4d23093d-1346-4018-8c0f-7aae33c67bcd;1,02499;0;0;0;0,77305
Textile;Matières;Matières recyclées; Production de fil de coton recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé;2b24abb0-c1ec-4298-9b58-350904a26104;2b24abb0-c1ec-4298-9b58-350904a26104;1,42207;0;0;0;0,323
Textile;Matières;Matières recyclées; Production de fil d'acrylique recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé;7603beaa-c555-4283-b9f8-4d5d231b8490;7603beaa-c555-4283-b9f8-4d5d231b8490;6,56515;0;0;0;0,137851
Textile;Matières;Matières recyclées; Production de fibres recyclées, traitement de déchets textiles post-consommation (recyclage mécanique), inventaire partiellement agrégé;ca5dc5b3-7fa2-4779-af0b-aa6f31cd457f;ca5dc5b3-7fa2-4779-af0b-aa6f31cd457f;0,250572;0;0;0;0,21
Textile;Mise en forme;Tricotage; Tricotage;9c478d79-ff6b-45e1-9396-c3bd897faa1d;9c478d79-ff6b-45e1-9396-c3bd897faa1d;0;0;0;8,64;0,0576
Textile;Mise en forme;Tissage; Tissage (habillement);f9686809-f55e-4b96-b1f0-3298959de7d0;f9686809-f55e-4b96-b1f0-3298959de7d0;0;0;0,0003145;0;0,0667
Textile;Ennoblissement;Teinture; Teinture sur étoffe, procédé majorant, traitement inefficace des eaux usées;cf001531-5f2d-48b1-b30a-4a17466a8b30;cf001531-5f2d-48b1-b30a-4a17466a8b30;0,420837;71,71;0;38,1;0
Textile;Ennoblissement;Teinture; Teinture sur étoffe, procédé représentatif, traitement très efficace des eaux usées;fb4bea16-7ce1-43e2-9e03-462250214988;fb4bea16-7ce1-43e2-9e03-462250214988;0,397712;25,87;0;7,17;0
Textile;Mise en forme;Confection; Confection (jeans);1f428a50-73c0-4fc1-ab39-00fd312458ee;1f428a50-73c0-4fc1-ab39-00fd312458ee;0;0;0;9,612;0
Textile;Mise en forme;Confection; Confection (gilet, jupe, pantalon, pull);387059fc-72cb-4a92-b1e7-2ef9242f8380;387059fc-72cb-4a92-b1e7-2ef9242f8380;0;0;0;2,232;0
Textile;Mise en forme;Confection; Confection (débardeur, tee-shirt, combinaison);26e3ca02-9bc0-45b4-b8b4-73f4b3701ad5;26e3ca02-9bc0-45b4-b8b4-73f4b3701ad5;0;0;0;1,8;0
Textile;Mise en forme;Confection; Confection (chemisier, manteau, veste, cape, robe);7fe48d7c-a568-4bd5-a3ac-cfa88255b4fe;7fe48d7c-a568-4bd5-a3ac-cfa88255b4fe;0;0;0;3,204;0
Textile;Mise en forme;Confection; Confection (ceinture, châle, chapeau, sac, écharpe);0a260a3f-260e-4b43-a0df-0cf673fda960;0a260a3f-260e-4b43-a0df-0cf673fda960;0;0;0;1,512;0
Transport;Maritime;Flotte moyenne; Transport maritime de conteneurs 27,500 t (dont flotte, utilisation et infrastructure) [tkm], GLO;8dc4ce62-ff0f-4680-897f-867c3b31a923;8dc4ce62-ff0f-4680-897f-867c3b31a923;0,0483042;0;0;0;0
Transport;Aérien;Flotte moyenne; Transport aérien long-courrier (dont flotte, utilisation et infrastructure) [tkm], GLO;839b263d-5111-4318-9275-7026937e88b2;839b263d-5111-4318-9275-7026937e88b2;1,20941;0;0;0;0
Transport;Routier;Flotte moyenne continentale; Transport en camion (dont parc, utilisation et infrastructure) (50%) [tkm], GLO;cf6e9d81-358c-4f44-5ab7-0e7a89440576;cf6e9d81-358c-4f44-5ab7-0e7a89440576;0,204544;0;0;0;0
Transport;Routier;Flotte moyenne continentale; Transport en camion (dont parc, utilisation et infrastructure) (50%) [tkm], RER;c0397088-6a57-eea7-8950-1d6db2e6bfdb;c0397088-6a57-eea7-8950-1d6db2e6bfdb;0,156105;0;0;0;0
Transport;Routier;Flotte moyenne française; Transport en camion non spécifié France (dont parc, utilisation et infrastructure) (50%) [tkm], FR;f49b27fa-f22e-c6e1-ab4b-e9f873e2e648;f49b27fa-f22e-c6e1-ab4b-e9f873e2e648;0,269575;0;0;0;0
